cluster,segment code,segment,Family code,Family                   ,MC. Desc            ,Class code,Class                 ,Brick code,Brick,Article Code,UOM,foodcouponaccepted,weightedItem,speciality,finiteinventory,Desc,Sarla Grand,Super Vidyaranyanpur,Ascendas Park,Vijaynagar TTMC,L3 code,L3,L2 Code,L2,L1 code,L1,,RRP,MRP1,MRP2,MRP3,MRP4,MRP5
CLU001,18,Staples,1801,DRY FRUITS               ,ALMONDS             ,180101,DRY FRUITS            ,180101001,ALMONDS             ,490416746,kg,TRUE,TRUE,FALSE,TRUE,MANAK ALMONDS AMERICAN 100 g PP         ,Y,Y,Y,Y,141,"Almond, Anjeer & Walnut",14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,108,108,92,89,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,ALMONDS             ,180101,DRY FRUITS            ,180101001,ALMONDS             ,490450384,kg,TRUE,TRUE,FALSE,TRUE,BEST FARM ALMOND PREMIUM 100 g PP       ,Y,Y,Y,Y,141,"Almond, Anjeer & Walnut",14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,130,130,130,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,ALMONDS             ,180101,DRY FRUITS            ,180101001,ALMONDS             ,491074333,kg,TRUE,TRUE,FALSE,TRUE,TULSI BADAM GIRI 500 g PP               ,Y,Y,Y,Y,141,"Almond, Anjeer & Walnut",14,Dry Fruits,1,Confectionery & Snacks,,449,540,570,459,459,0
CLU001,18,Staples,1801,DRY FRUITS               ,ALMONDS             ,180101,DRY FRUITS            ,180101001,ALMONDS             ,491186623,kg,TRUE,TRUE,FALSE,TRUE,GOOD LIFE ALMOND 100 g PP               ,Y,Y,Y,Y,141,"Almond, Anjeer & Walnut",14,Dry Fruits,1,Confectionery & Snacks,,99,105,105,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,ALMONDS             ,180101,DRY FRUITS            ,180101001,ALMONDS             ,491186624,kg,TRUE,TRUE,FALSE,TRUE,GOOD LIFE ALMOND 200 g PP               ,Y,Y,Y,Y,141,"Almond, Anjeer & Walnut",14,Dry Fruits,1,Confectionery & Snacks,,175,208,208,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,ALMONDS             ,180101,DRY FRUITS            ,180101001,ALMONDS             ,491186625,kg,TRUE,TRUE,FALSE,TRUE,GOOD LIFE ALMOND 500 g PP               ,Y,Y,Y,Y,141,"Almond, Anjeer & Walnut",14,Dry Fruits,1,Confectionery & Snacks,,379,470,499,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,ALMONDS             ,180101,DRY FRUITS            ,180101001,ALMONDS             ,491264328,kg,TRUE,TRUE,FALSE,TRUE,WONDERLAND RASTED ALMONDS 200 g PP      ,N,N,Y,Y,141,"Almond, Anjeer & Walnut",14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,365,365,365,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,ALMONDS             ,180101,DRY FRUITS            ,180101001,ALMONDS             ,491264332,kg,TRUE,TRUE,FALSE,TRUE,WONDERLAND ALMOND 100 g PP              ,Y,Y,Y,Y,141,"Almond, Anjeer & Walnut",14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,190,190,190,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,ALMONDS             ,180101,DRY FRUITS            ,180101001,ALMONDS             ,491296172,kg,TRUE,TRUE,FALSE,TRUE,TULSI CALIFORNIA ALMONDS 200 g PP       ,Y,Y,Y,Y,141,"Almond, Anjeer & Walnut",14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,199,225,240,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,490007417,kg,TRUE,TRUE,FALSE,TRUE,DCC DELICIOUS CASHEW ROASTED 80 g PP    ,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,133,133,94,89,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,490007418,kg,TRUE,TRUE,FALSE,TRUE,DCC DELICUS CASHEW RSTD SPNCHLI 80 g PP ,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,117,117,89,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,490007419,kg,TRUE,TRUE,FALSE,TRUE,DCC DELICIOUS CSHW RSTD HOT&SUR 200 g PP,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,285,285,230,220,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,490416780,kg,TRUE,TRUE,FALSE,TRUE,MANAK CASHEW WHOLE 320 100 g PP         ,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,130,130,91,82,121,118
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,490416781,kg,TRUE,TRUE,FALSE,TRUE,MANAK CASHEW WHOLE 320 250 g PP         ,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,275,325,227,204,302,0
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,490416782,kg,TRUE,TRUE,FALSE,TRUE,MANAK CASHEW 2 PC 100 g PP              ,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,124,124,73,69,76,0
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,490416786,kg,TRUE,TRUE,FALSE,TRUE,MANAK CASHEW 4 PC 100 g PP              ,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,109,109,74,62,73,98
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,490416788,kg,TRUE,TRUE,FALSE,TRUE,MANAK CASHEW FRY 100 g PP               ,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,157,157,109,142,127,0
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,490416790,kg,TRUE,TRUE,FALSE,TRUE,MANAK CASHEW ROASTED 100 g PP           ,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,157,157,109,142,127,0
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,491186627,kg,TRUE,TRUE,FALSE,TRUE,GOOD LIFE W240 CASHEW 200 g PP          ,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,,255,290,255,225,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,491186628,kg,TRUE,TRUE,FALSE,TRUE,GOOD LIFE W240 CASHEW 100 g PP          ,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,,129,145,129,115,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,491186629,kg,TRUE,TRUE,FALSE,TRUE,GOOD LIFE W320 CASHEW 100 g PP          ,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,,119,135,115,109,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,491186630,kg,TRUE,TRUE,FALSE,TRUE,GOOD LIFE W320 CASHEW 200 g PP          ,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,,229,270,229,215,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,491186631,kg,TRUE,TRUE,FALSE,TRUE,GOOD LIFE W320 CASHEW 500 g PP          ,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,,489,578,549,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,491186632,kg,TRUE,TRUE,FALSE,TRUE,GOOD LIFE CASHEW 2 PIECES 100 g PP      ,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,,119,130,115,109,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,491186633,kg,TRUE,TRUE,FALSE,TRUE,GOOD LIFE CASHEW 2 PIECES 200 g PP      ,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,,229,255,220,213,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,491186634,kg,TRUE,TRUE,FALSE,TRUE,GOOD LIFE CASHEW BROKEN 100 g PP        ,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,,114,120,110,105,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,491186635,kg,TRUE,TRUE,FALSE,TRUE,GOOD LIFE CASHEW BROKEN 200 g PP        ,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,,219,235,205,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,491203241,kg,TRUE,TRUE,FALSE,TRUE,GOOD LIFE W240 CASHEW 500 g PP          ,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,629,725,1000,500,550,599
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,491251577,kg,TRUE,TRUE,FALSE,TRUE,GOURMIA R&S CASHEWS 200 g CBD           ,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,340,340,270,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,491251578,kg,TRUE,TRUE,FALSE,TRUE,GOURMIA R&S CASHEWS & PEPPER 200 g CBD  ,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,340,340,270,0,0,0
